,sst,chl,kd_490,par,Zeu
0,17.0,2.0,2.0,16.0,2.0
1,17.0,0.0,0.0,16.0,0.0
2,0.0,0.0,0.0,15.0,0.0
3,0.0,0.0,0.0,15.0,0.0
4,17.0,7.0,7.0,17.0,7.0
5,17.0,7.0,7.0,17.0,7.0
6,17.0,0.0,0.0,17.0,0.0
7,17.0,0.0,0.0,17.0,0.0
8,17.0,0.0,0.0,17.0,0.0
9,17.0,0.0,0.0,17.0,0.0
10,17.0,1.0,1.0,17.0,1.0
11,17.0,1.0,1.0,17.0,1.0
12,17.0,0.0,0.0,17.0,0.0
13,17.0,0.0,0.0,17.0,0.0
14,17.0,4.0,4.0,16.0,4.0
15,17.0,4.0,4.0,16.0,4.0
16,17.0,6.0,6.0,15.0,6.0
17,17.0,6.0,6.0,15.0,6.0
18,17.0,3.0,3.0,15.0,3.0
19,17.0,3.0,3.0,15.0,3.0
20,17.0,3.0,3.0,16.0,3.0
21,17.0,3.0,3.0,16.0,3.0
22,17.0,3.0,3.0,16.0,3.0
23,17.0,3.0,3.0,16.0,3.0
24,17.0,7.0,7.0,15.0,7.0
25,17.0,7.0,7.0,15.0,7.0
26,17.0,4.0,4.0,15.0,4.0
27,17.0,4.0,4.0,15.0,4.0
28,17.0,7.0,7.0,14.0,7.0
29,17.0,7.0,7.0,14.0,7.0
30,17.0,5.0,5.0,15.0,5.0
31,17.0,5.0,5.0,15.0,5.0
32,17.0,7.0,7.0,14.0,7.0
33,17.0,7.0,7.0,14.0,7.0
34,17.0,3.0,3.0,14.0,3.0
35,17.0,3.0,3.0,14.0,3.0
36,17.0,5.0,5.0,14.0,5.0
37,17.0,5.0,5.0,14.0,5.0
38,17.0,6.0,6.0,13.0,6.0
39,17.0,6.0,6.0,13.0,6.0
40,17.0,3.0,3.0,13.0,3.0
41,17.0,3.0,3.0,13.0,3.0
42,17.0,4.0,4.0,15.0,4.0
43,17.0,4.0,4.0,15.0,4.0
44,17.0,4.0,4.0,15.0,4.0
45,17.0,4.0,4.0,15.0,4.0
46,17.0,10.0,10.0,14.0,10.0
47,17.0,10.0,10.0,14.0,10.0
48,17.0,11.0,11.0,13.0,11.0
49,17.0,11.0,11.0,13.0,11.0
50,17.0,8.0,8.0,13.0,8.0
51,17.0,9.0,9.0,14.0,9.0
52,17.0,10.0,10.0,15.0,10.0
53,17.0,4.0,4.0,15.0,4.0
54,17.0,4.0,4.0,15.0,4.0
55,17.0,5.0,5.0,16.0,5.0
56,17.0,5.0,5.0,16.0,5.0
57,17.0,7.0,7.0,14.0,7.0
58,17.0,7.0,7.0,14.0,7.0
59,17.0,6.0,6.0,14.0,6.0
60,17.0,6.0,6.0,14.0,6.0
61,17.0,3.0,3.0,15.0,3.0
62,17.0,3.0,3.0,15.0,3.0
63,17.0,4.0,4.0,15.0,4.0
64,17.0,4.0,4.0,15.0,4.0
65,17.0,3.0,3.0,15.0,3.0
66,17.0,3.0,3.0,15.0,3.0
67,17.0,4.0,4.0,15.0,4.0
68,17.0,4.0,4.0,15.0,4.0
69,17.0,3.0,3.0,14.0,3.0
70,17.0,3.0,3.0,14.0,3.0
71,17.0,5.0,5.0,14.0,5.0
72,17.0,4.0,4.0,14.0,4.0
73,17.0,3.0,3.0,13.0,3.0
74,17.0,3.0,3.0,13.0,3.0
75,17.0,6.0,6.0,14.0,6.0
76,17.0,6.0,6.0,14.0,6.0
77,17.0,6.0,6.0,14.0,6.0
78,17.0,4.0,4.0,15.0,4.0
79,17.0,6.0,6.0,15.0,6.0
80,17.0,6.0,6.0,15.0,6.0
81,17.0,8.0,8.0,12.0,8.0
82,17.0,8.0,8.0,12.0,8.0
83,17.0,11.0,11.0,13.0,11.0
84,17.0,11.0,11.0,13.0,11.0
85,17.0,9.0,9.0,12.0,9.0
86,17.0,9.0,9.0,12.0,9.0
87,17.0,6.0,6.0,11.0,6.0
88,17.0,6.0,6.0,11.0,6.0
89,17.0,9.0,9.0,11.0,9.0
90,17.0,9.0,9.0,11.0,9.0
91,17.0,8.0,8.0,11.0,8.0
92,17.0,8.0,8.0,11.0,8.0
93,17.0,8.0,8.0,11.0,8.0
94,17.0,8.0,8.0,11.0,8.0
95,17.0,7.0,7.0,11.0,7.0
96,17.0,7.0,7.0,11.0,7.0
97,17.0,6.0,6.0,11.0,6.0
98,17.0,6.0,6.0,11.0,6.0
99,17.0,3.0,3.0,11.0,3.0
100,17.0,4.0,4.0,12.0,4.0
101,17.0,7.0,7.0,13.0,7.0
102,17.0,3.0,3.0,13.0,3.0
103,17.0,3.0,3.0,13.0,3.0
104,17.0,7.0,7.0,14.0,7.0
105,17.0,7.0,7.0,14.0,7.0
106,17.0,2.0,2.0,13.0,2.0
107,17.0,3.0,3.0,14.0,3.0
108,17.0,4.0,4.0,14.0,4.0
109,17.0,1.0,1.0,12.0,1.0
110,17.0,5.0,5.0,13.0,5.0
111,17.0,3.0,3.0,17.0,3.0
112,17.0,1.0,1.0,17.0,1.0
113,17.0,6.0,6.0,14.0,6.0
114,17.0,6.0,6.0,14.0,6.0
115,17.0,6.0,6.0,14.0,6.0
116,17.0,4.0,4.0,16.0,4.0
117,17.0,4.0,4.0,16.0,4.0
118,17.0,4.0,4.0,16.0,4.0
119,17.0,7.0,7.0,16.0,7.0
120,17.0,7.0,7.0,16.0,7.0
121,17.0,7.0,7.0,16.0,7.0
122,17.0,6.0,6.0,16.0,6.0
123,17.0,6.0,6.0,16.0,6.0
124,17.0,6.0,6.0,16.0,6.0
125,17.0,7.0,7.0,16.0,7.0
126,17.0,7.0,7.0,16.0,7.0
127,17.0,7.0,7.0,16.0,7.0
128,17.0,6.0,6.0,16.0,6.0
129,17.0,6.0,6.0,16.0,6.0
130,17.0,6.0,6.0,16.0,6.0
131,17.0,2.0,2.0,17.0,2.0
132,17.0,2.0,2.0,17.0,2.0
133,17.0,2.0,2.0,17.0,2.0
134,17.0,1.0,1.0,17.0,1.0
135,17.0,1.0,1.0,17.0,1.0
136,17.0,1.0,1.0,17.0,1.0
137,17.0,2.0,2.0,17.0,2.0
138,17.0,2.0,2.0,17.0,2.0
139,17.0,2.0,2.0,17.0,2.0
140,17.0,1.0,1.0,17.0,1.0
141,17.0,1.0,1.0,17.0,1.0
142,17.0,1.0,1.0,17.0,1.0
143,17.0,2.0,2.0,17.0,2.0
144,17.0,2.0,2.0,17.0,2.0
145,17.0,2.0,2.0,17.0,2.0
146,17.0,4.0,4.0,17.0,4.0
147,17.0,4.0,4.0,17.0,4.0
148,17.0,3.0,3.0,17.0,3.0
149,17.0,3.0,3.0,17.0,3.0
150,17.0,3.0,3.0,17.0,3.0
151,17.0,3.0,3.0,17.0,3.0
152,17.0,3.0,3.0,17.0,3.0
153,17.0,3.0,3.0,17.0,3.0
154,17.0,9.0,9.0,15.0,9.0
