,sst,chl,kd_490,par,Zeu,ID,lat,lon,depth,temp,NO3,Si4,PO4,alpha,PBmax,Ek,month,longhurst,basin,biome,daylength,E_surf,Ez,PB,date
0,6.10333251953125,,,36.14299774169922,,5,57.28,-50.9,3.0,6.1,,,,0.009219,1.785,193.621867881549,7,2.0,2.0,2.0,17.504419922425633,,,,1998-07-04
1,6.893330891927083,,,46.11499786376953,,5,56.17,-52.98,3.0,8.2,,,,0.01367425,2.42,176.974971205002,7,2.0,2.0,2.0,17.178200603730108,608.6848603993349,,,1998-07-06
2,,,,40.44666544596354,,5,44.83,-63.27,40.0,1.1,0.64,0.28,0.53,0.011834,1.24,104.782829136387,6,15.0,2.0,1.0,15.40404828735563,,,,1998-06-24
3,,,,40.44666544596354,,5,44.83,-63.27,10.0,11.5,0.36,0.24,0.32,0.01930725,5.0,258.970076007717,6,15.0,2.0,1.0,15.40404828735563,,,,1998-06-24
4,10.099995930989584,0.22648784518241882,0.0498354397714138,48.451333363850914,92.30379065780039,5,49.85,-58.71,50.0,-0.7,5.34,2.26,0.9,0.0462255,1.17,25.3107051302852,6,15.0,2.0,1.0,16.120232814266856,1050.267447285201,,,1998-06-25
5,10.099995930989584,0.22648784518241882,0.0498354397714138,48.451333363850914,92.30379065780039,5,49.85,-58.71,10.0,9.5,0.33,0.24,0.37,0.0492045,7.18,145.921612860612,6,15.0,2.0,1.0,16.120232814266856,1050.267447285201,,,1998-06-25
6,3.7066650390625,,,29.86266581217448,,5,55.11,-54.13,30.0,3.3,,,,0.02107775,2.74,129.994899835134,6,2.0,2.0,2.0,17.105944842582762,420.0943520245463,,,1998-06-27
7,3.7066650390625,,,29.86266581217448,,5,55.11,-54.13,10.0,4.4,,,,0.01136325,3.3,290.409873935714,6,2.0,2.0,2.0,17.105944842582762,420.0943520245463,,,1998-06-27
8,5.35333251953125,,,26.901331583658855,,5,55.61,-53.63,20.0,6.2,0.29,0.82,0.18,0.0228615,2.76,120.726986418214,6,2.0,2.0,2.0,17.20939145694041,334.89461805151046,,,1998-06-28
9,5.35333251953125,,,26.901331583658855,,5,55.61,-53.63,10.0,6.5,0.0,0.63,0.14,0.0218385,5.9,270.165075440163,6,2.0,2.0,2.0,17.20939145694041,334.89461805151046,,,1998-06-28
10,5.293324788411458,,,23.86133066813151,,5,56.78,-52.89,30.0,6.1,2.61,0.57,0.26,0.00970225,2.165,223.144116055554,6,2.0,2.0,2.0,17.46389437503178,536.8536392308953,,,1998-06-30
11,5.293324788411458,,,23.86133066813151,,5,56.78,-52.89,10.0,6.3,2.61,0.46,0.25,0.00871525,1.99,228.335389116778,6,2.0,2.0,2.0,17.46389437503178,536.8536392308953,,,1998-06-30
12,5.583323160807292,,,34.15466435750326,,5,58.64,-50.42,30.0,4.8,11.31,2.84,0.79,0.014898,2.74,183.917304336153,7,2.0,2.0,2.0,17.92970129706141,300.8043628872058,,,1998-07-02
13,5.583323160807292,,,34.15466435750326,,5,58.64,-50.42,10.0,5.2,9.15,1.21,0.68,0.02085675,3.32,159.181080465557,7,2.0,2.0,2.0,17.92970129706141,300.8043628872058,,,1998-07-02
14,6.273335774739583,,,36.220664978027344,,5,52.61,-55.2,50.0,-1.4,,,,0.0153075,2.44,159.398987424465,7,1.0,1.0,2.0,16.424022885041847,945.2955094806613,,,1998-07-07
15,6.273335774739583,,,36.220664978027344,,5,52.61,-55.2,10.0,3.4,,,,0.007839,2.13,271.718331419824,7,1.0,1.0,2.0,16.424022885041847,945.2955094806613,,,1998-07-07
16,11.953338623046875,0.4804490804672241,0.06154116243124008,53.95800018310547,74.74671940328683,5,47.88,-59.53,40.0,3.3,,,,0.009137,2.77,303.162963773668,7,15.0,2.0,1.0,15.65342906863001,1116.8302085412715,95.25936063752866,0.8428273227468938,1998-07-08
17,11.953338623046875,0.4804490804672241,0.06154116243124008,53.95800018310547,74.74671940328683,5,47.88,-59.53,10.0,12.2,,,,0.1127125,4.19,37.174226461129,7,15.0,2.0,1.0,15.65342906863001,1116.8302085412715,603.5555945590287,4.189999999999935,1998-07-08
18,0.4533284505208333,1.020125150680542,0.10772914811968803,38.76066589355469,42.70191304408808,5,46.102,-59.409,18.0,0.4,0.2,0.3705,0.4265,0.01502475,1.5,99.8352718015275,4,15.0,2.0,1.0,13.587167191805552,960.2197475833661,,,1998-04-21
19,0.4533284505208333,1.020125150680542,0.10772914811968803,38.76066589355469,42.70191304408808,5,46.102,-59.409,4.0,0.4,0.0,0.1905,0.389,0.010658,0.98,91.9497091386752,4,15.0,2.0,1.0,13.587167191805552,960.2197475833661,,,1998-04-21
20,0.2066650390625,0.8816955089569092,0.09500764682888985,37.29933166503906,48.41775043892254,5,47.261,-59.334,34.0,0.2,1.8405,0.896,0.5915,0.01707775,2.45,143.461521570464,4,15.0,2.0,1.0,13.708114716505692,1031.6678965074989,,,1998-04-22
21,0.2066650390625,0.8816955089569092,0.09500764682888985,37.29933166503906,48.41775043892254,5,47.261,-59.334,5.0,0.5,0.085,0.3775,0.4155,0.01873425,2.4,128.10761039273,4,15.0,2.0,1.0,13.708114716505692,1031.6678965074989,,,1998-04-22
22,1.4766743977864583,1.2061810493469238,0.11489777266979218,45.919333140055336,40.035588968465596,5,45.495,-59.51,34.0,0.2,0.352,0.131,0.4855,0.0144365,1.23,85.2007065424445,4,15.0,2.0,1.0,13.654868712746541,828.9269880345842,,,1998-04-23
23,1.4766743977864583,1.2061810493469238,0.11489777266979218,45.919333140055336,40.035588968465596,5,45.495,-59.51,4.0,0.9,0.0435,0.0505,0.367,0.015433,1.49,96.5463616924771,4,15.0,2.0,1.0,13.654868712746541,828.9269880345842,,,1998-04-23
24,3.1866658528645835,0.47484278678894043,0.06283561512827873,54.76399803161621,73.29033863889319,5,43.536,-62.488,28.0,2.5,0.7375,0.534,0.5595,0.03024325,4.66,154.083969150141,4,15.0,2.0,1.0,13.683331864108556,1116.321635571015,181.09641861249813,3.8490060739326526,1998-04-26
25,3.1866658528645835,0.47484278678894043,0.06283561512827873,54.76399803161621,73.29033863889319,5,43.536,-62.488,4.0,3.0,0.206,0.23,0.476,0.01559375,2.48,159.038076152305,4,15.0,2.0,1.0,13.683331864108556,1116.321635571015,860.8934750560271,2.4799014424858763,1998-04-26
26,2.3699951171875,0.8798197209835052,0.09738876670598984,40.82466506958008,47.26943928713027,5,43.151,-65.277,23.0,1.8,3.5475,4.5122,0.5865,0.0275555,2.56,92.90341311172,4,15.0,2.0,1.0,12.801918873237536,1060.9954321430307,106.18143275655957,2.0874136594193846,1998-04-08
27,2.3699951171875,0.8798197209835052,0.09738876670598984,40.82466506958008,47.26943928713027,5,43.151,-65.277,3.0,2.6,4.2,5.1799,0.588,0.012633,1.87,148.025013852608,4,15.0,2.0,1.0,12.801918873237536,1060.9954321430307,785.8188384364254,1.869908421854174,1998-04-08
28,5.806660970052083,0.8979991674423218,0.0969817042350769,42.05399831136068,47.431626782407534,5,41.505,-64.287,44.0,5.9,0.2385,0.202,0.159,0.01944575,1.19,61.1958911330239,4,15.0,2.0,1.0,12.803361810360324,596.1541202391473,,,1998-04-09
29,5.806660970052083,0.8979991674423218,0.0969817042350769,42.05399831136068,47.431626782407534,5,41.505,-64.287,4.0,6.6,0.0,0.028,0.072,0.01691675,1.48,87.4872537573707,4,15.0,2.0,1.0,12.803361810360324,596.1541202391473,,,1998-04-09
30,6.330006917317708,1.213523268699646,0.11632994562387466,34.182664235432945,39.54269878946742,5,42.193,-63.524,34.0,5.9,0.1365,0.3855,0.191,0.01950375,2.32,118.951483689034,4,15.0,2.0,1.0,12.870664969213387,575.6414367718262,,,1998-04-10
31,6.330006917317708,1.213523268699646,0.11632994562387466,34.182664235432945,39.54269878946742,5,42.193,-63.524,4.0,5.7,0.1135,0.4015,0.218,0.016114,1.5,93.0867568573911,4,15.0,2.0,1.0,12.870664969213387,575.6414367718262,,,1998-04-10
32,3.2033284505208335,0.6456346809864044,0.07561235688626766,37.87466557820638,62.82578542544282,5,42.597,-64.237,45.0,2.1,1.4185,0.5025,0.468125,0.02592825,4.55,175.484269088735,4,15.0,2.0,1.0,12.931255448300309,1077.965266386561,65.74054438471751,1.6290331799513207,1998-04-11
33,3.2033284505208335,0.6456346809864044,0.07561235688626766,37.87466557820638,62.82578542544282,5,42.597,-64.237,4.0,2.1,,,,0.024293,3.61,148.602478080105,4,15.0,2.0,1.0,12.931255448300309,1077.965266386561,840.6690932909505,3.6099119399884825,1998-04-11
34,0.2533365885416667,,,23.641998291015625,,5,44.159,-63.191,44.0,0.8,0.302,0.047,0.33465,0.00444175,0.97,218.38239432656,4,15.0,2.0,1.0,13.13538019487685,,,,1998-04-14
35,0.2533365885416667,,,23.641998291015625,,5,44.159,-63.191,5.0,0.5,0.2595,0.0,0.265075,0.057781,3.98,68.880773956837,4,15.0,2.0,1.0,13.13538019487685,,,,1998-04-14
36,2.089996337890625,0.5650230646133423,0.07132592797279358,33.45599937438965,64.49267651666045,5,43.523,-62.525,24.0,1.8,0.8505,0.7745,0.4122625,0.021393,2.14,100.032720983499,4,15.0,2.0,1.0,13.15927142218141,1080.649161123166,195.096623956945,2.0551380864354982,1998-04-15
37,2.089996337890625,0.5650230646133423,0.07132592797279358,33.45599937438965,64.49267651666045,5,43.523,-62.525,5.0,1.8,0.897,0.562,0.532,0.01340875,1.79,133.494919362357,4,15.0,2.0,1.0,13.15927142218141,1080.649161123166,756.4886840297967,1.7899571688233602,1998-04-15
38,7.080006917317708,1.1530357599258423,0.11377650499343872,51.77199935913086,40.430139775037674,5,42.321,-61.241,33.0,7.6,2.68,1.8695,0.57,0.024088,2.87,119.146462969113,4,15.0,2.0,1.0,13.157923140472388,,,,1998-04-16
39,7.080006917317708,1.1530357599258423,0.11377650499343872,51.77199935913086,40.430139775037674,5,42.321,-61.241,4.0,4.8,0.298,0.4875,0.372,0.02176475,2.46,113.026797918653,4,15.0,2.0,1.0,13.157923140472388,,,,1998-04-16
40,2.69000244140625,1.2429038286209106,0.11940004676580429,32.0419979095459,38.52594805948955,5,44.203,-61.417,36.0,1.9,0.3005,0.416,0.4765,0.01695925,1.59,93.7541459675399,4,15.0,2.0,1.0,13.336762785668393,398.56410600921475,,,1998-04-18
41,2.69000244140625,1.2429038286209106,0.11940004676580429,32.0419979095459,38.52594805948955,5,44.203,-61.417,6.0,2.4,0.1305,0.3335,0.4535,0.0110905,1.69,152.382669852577,4,15.0,2.0,1.0,13.336762785668393,398.56410600921475,,,1998-04-18
