,sst,chl,kd_490,par,Zeu
0,27.0,2.0,2.0,26.0,2.0
1,27.0,1.0,1.0,26.0,1.0
2,0.0,0.0,0.0,21.0,0.0
3,0.0,0.0,0.0,21.0,0.0
4,27.0,11.0,11.0,26.0,11.0
5,27.0,11.0,11.0,26.0,11.0
6,27.0,2.0,2.0,26.0,2.0
7,27.0,2.0,2.0,26.0,2.0
8,27.0,2.0,2.0,26.0,2.0
9,27.0,2.0,2.0,26.0,2.0
10,27.0,2.0,2.0,26.0,2.0
11,27.0,2.0,2.0,26.0,2.0
12,27.0,0.0,0.0,27.0,0.0
13,27.0,0.0,0.0,27.0,0.0
14,27.0,7.0,7.0,26.0,7.0
15,27.0,7.0,7.0,26.0,7.0
16,27.0,10.0,10.0,25.0,10.0
17,27.0,10.0,10.0,25.0,10.0
18,27.0,3.0,3.0,24.0,3.0
19,27.0,3.0,3.0,24.0,3.0
20,27.0,4.0,4.0,24.0,4.0
21,27.0,4.0,4.0,24.0,4.0
22,27.0,6.0,6.0,24.0,6.0
23,27.0,6.0,6.0,24.0,6.0
24,27.0,9.0,9.0,23.0,9.0
25,27.0,9.0,9.0,23.0,9.0
26,27.0,6.0,6.0,24.0,6.0
27,27.0,6.0,6.0,24.0,6.0
28,27.0,7.0,7.0,23.0,7.0
29,27.0,7.0,7.0,23.0,7.0
30,27.0,6.0,6.0,24.0,6.0
31,27.0,6.0,6.0,24.0,6.0
32,27.0,10.0,10.0,22.0,10.0
33,27.0,10.0,10.0,22.0,10.0
34,27.0,5.0,5.0,23.0,5.0
35,27.0,5.0,5.0,23.0,5.0
36,27.0,8.0,8.0,23.0,8.0
37,27.0,8.0,8.0,23.0,8.0
38,27.0,10.0,10.0,22.0,10.0
39,27.0,10.0,10.0,22.0,10.0
40,27.0,6.0,6.0,21.0,6.0
41,27.0,6.0,6.0,21.0,6.0
42,27.0,6.0,6.0,23.0,6.0
43,27.0,6.0,6.0,23.0,6.0
44,27.0,6.0,6.0,23.0,6.0
45,27.0,6.0,6.0,23.0,6.0
46,27.0,18.0,18.0,22.0,18.0
47,27.0,18.0,18.0,22.0,18.0
48,27.0,19.0,19.0,20.0,19.0
49,27.0,19.0,19.0,20.0,19.0
50,27.0,16.0,16.0,21.0,16.0
51,27.0,17.0,17.0,21.0,17.0
52,27.0,16.0,16.0,23.0,16.0
53,27.0,5.0,5.0,23.0,5.0
54,27.0,5.0,5.0,23.0,5.0
55,27.0,9.0,9.0,25.0,9.0
56,27.0,9.0,9.0,25.0,9.0
57,27.0,11.0,11.0,23.0,11.0
58,27.0,11.0,11.0,23.0,11.0
59,27.0,11.0,11.0,23.0,11.0
60,27.0,11.0,11.0,23.0,11.0
61,27.0,7.0,7.0,24.0,7.0
62,27.0,7.0,7.0,24.0,7.0
63,27.0,7.0,7.0,25.0,7.0
64,27.0,7.0,7.0,25.0,7.0
65,27.0,6.0,6.0,24.0,6.0
66,27.0,6.0,6.0,24.0,6.0
67,27.0,9.0,9.0,24.0,9.0
68,27.0,9.0,9.0,24.0,9.0
69,27.0,8.0,8.0,22.0,8.0
70,27.0,8.0,8.0,22.0,8.0
71,27.0,11.0,11.0,22.0,11.0
72,27.0,10.0,10.0,22.0,10.0
73,27.0,8.0,8.0,22.0,8.0
74,27.0,8.0,8.0,22.0,8.0
75,27.0,10.0,10.0,23.0,10.0
76,27.0,11.0,11.0,22.0,11.0
77,27.0,11.0,11.0,22.0,11.0
78,27.0,9.0,9.0,23.0,9.0
79,27.0,11.0,11.0,23.0,11.0
80,27.0,11.0,11.0,23.0,11.0
81,27.0,14.0,14.0,19.0,14.0
82,27.0,14.0,14.0,19.0,14.0
83,27.0,16.0,16.0,19.0,16.0
84,27.0,16.0,16.0,19.0,16.0
85,27.0,15.0,15.0,19.0,15.0
86,27.0,15.0,15.0,19.0,15.0
87,27.0,8.0,8.0,17.0,8.0
88,27.0,8.0,8.0,17.0,8.0
89,27.0,14.0,14.0,17.0,14.0
90,27.0,14.0,14.0,17.0,14.0
91,27.0,13.0,13.0,17.0,13.0
92,27.0,13.0,13.0,17.0,13.0
93,27.0,11.0,11.0,19.0,11.0
94,27.0,11.0,11.0,19.0,11.0
95,27.0,12.0,12.0,19.0,12.0
96,27.0,12.0,12.0,19.0,12.0
97,27.0,9.0,9.0,18.0,9.0
98,27.0,9.0,9.0,18.0,9.0
99,27.0,10.0,10.0,18.0,10.0
100,27.0,10.0,10.0,19.0,10.0
101,27.0,11.0,11.0,21.0,11.0
102,27.0,5.0,5.0,22.0,5.0
103,27.0,5.0,5.0,22.0,5.0
104,27.0,12.0,12.0,22.0,12.0
105,27.0,12.0,12.0,22.0,12.0
106,27.0,6.0,6.0,22.0,6.0
107,27.0,5.0,5.0,23.0,5.0
108,27.0,6.0,6.0,23.0,6.0
109,27.0,2.0,2.0,19.0,2.0
110,27.0,8.0,8.0,21.0,8.0
111,27.0,3.0,3.0,26.0,3.0
112,27.0,2.0,2.0,26.0,2.0
113,27.0,11.0,11.0,23.0,11.0
114,27.0,11.0,11.0,23.0,11.0
115,27.0,11.0,11.0,23.0,11.0
116,27.0,9.0,9.0,26.0,9.0
117,27.0,9.0,9.0,26.0,9.0
118,27.0,9.0,9.0,26.0,9.0
119,27.0,9.0,9.0,26.0,9.0
120,27.0,9.0,9.0,26.0,9.0
121,27.0,9.0,9.0,26.0,9.0
122,27.0,7.0,7.0,26.0,7.0
123,27.0,7.0,7.0,26.0,7.0
124,27.0,7.0,7.0,26.0,7.0
125,27.0,8.0,8.0,26.0,8.0
126,27.0,8.0,8.0,26.0,8.0
127,27.0,8.0,8.0,26.0,8.0
128,27.0,8.0,8.0,26.0,8.0
129,27.0,8.0,8.0,26.0,8.0
130,27.0,8.0,8.0,26.0,8.0
131,27.0,2.0,2.0,26.0,2.0
132,27.0,2.0,2.0,26.0,2.0
133,27.0,2.0,2.0,26.0,2.0
134,27.0,2.0,2.0,26.0,2.0
135,27.0,2.0,2.0,26.0,2.0
136,27.0,2.0,2.0,26.0,2.0
137,27.0,3.0,3.0,26.0,3.0
138,27.0,3.0,3.0,26.0,3.0
139,27.0,3.0,3.0,26.0,3.0
140,27.0,2.0,2.0,26.0,2.0
141,27.0,2.0,2.0,26.0,2.0
142,27.0,2.0,2.0,26.0,2.0
143,27.0,3.0,3.0,26.0,3.0
144,27.0,3.0,3.0,26.0,3.0
145,27.0,3.0,3.0,26.0,3.0
146,27.0,7.0,7.0,26.0,7.0
147,27.0,7.0,7.0,26.0,7.0
148,27.0,8.0,8.0,26.0,8.0
149,27.0,8.0,8.0,26.0,8.0
150,27.0,8.0,8.0,26.0,8.0
151,27.0,6.0,6.0,26.0,6.0
152,27.0,6.0,6.0,26.0,6.0
153,27.0,6.0,6.0,26.0,6.0
154,27.0,15.0,15.0,23.0,15.0
155,27.0,0.0,0.0,23.0,0.0
156,27.0,13.0,13.0,23.0,13.0
157,27.0,13.0,13.0,23.0,13.0
158,27.0,13.0,13.0,23.0,13.0
159,27.0,13.0,13.0,23.0,13.0
160,27.0,13.0,13.0,23.0,13.0
161,27.0,13.0,13.0,23.0,13.0
162,27.0,13.0,13.0,23.0,13.0
