,sst,chl,kd_490,par,Zeu
0,28.0,2.0,2.0,27.0,2.0
1,28.0,2.0,2.0,27.0,2.0
2,0.0,0.0,0.0,21.0,0.0
3,0.0,0.0,0.0,21.0,0.0
4,28.0,11.0,11.0,27.0,11.0
5,28.0,11.0,11.0,27.0,11.0
6,28.0,2.0,2.0,27.0,2.0
7,28.0,2.0,2.0,27.0,2.0
8,28.0,2.0,2.0,27.0,2.0
9,28.0,2.0,2.0,27.0,2.0
10,28.0,2.0,2.0,27.0,2.0
11,28.0,2.0,2.0,27.0,2.0
12,28.0,0.0,0.0,27.0,0.0
13,28.0,0.0,0.0,27.0,0.0
14,28.0,7.0,7.0,27.0,7.0
15,28.0,7.0,7.0,27.0,7.0
16,28.0,11.0,11.0,26.0,11.0
17,28.0,11.0,11.0,26.0,11.0
18,28.0,4.0,4.0,24.0,4.0
19,28.0,4.0,4.0,24.0,4.0
20,28.0,4.0,4.0,25.0,4.0
21,28.0,4.0,4.0,25.0,4.0
22,28.0,6.0,6.0,25.0,6.0
23,28.0,6.0,6.0,25.0,6.0
24,28.0,10.0,10.0,24.0,10.0
25,28.0,10.0,10.0,24.0,10.0
26,28.0,6.0,6.0,25.0,6.0
27,28.0,6.0,6.0,25.0,6.0
28,28.0,7.0,7.0,24.0,7.0
29,28.0,7.0,7.0,24.0,7.0
30,28.0,7.0,7.0,25.0,7.0
31,28.0,7.0,7.0,25.0,7.0
32,28.0,10.0,10.0,23.0,10.0
33,28.0,10.0,10.0,23.0,10.0
34,28.0,5.0,5.0,24.0,5.0
35,28.0,5.0,5.0,24.0,5.0
36,28.0,8.0,8.0,24.0,8.0
37,28.0,8.0,8.0,24.0,8.0
38,28.0,10.0,10.0,23.0,10.0
39,28.0,10.0,10.0,23.0,10.0
40,28.0,6.0,6.0,22.0,6.0
41,28.0,6.0,6.0,22.0,6.0
42,28.0,6.0,6.0,24.0,6.0
43,28.0,6.0,6.0,24.0,6.0
44,28.0,6.0,6.0,24.0,6.0
45,28.0,6.0,6.0,24.0,6.0
46,28.0,18.0,18.0,23.0,18.0
47,28.0,18.0,18.0,23.0,18.0
48,28.0,20.0,20.0,21.0,20.0
49,28.0,20.0,20.0,21.0,20.0
50,28.0,17.0,17.0,21.0,17.0
51,28.0,17.0,17.0,22.0,17.0
52,28.0,17.0,17.0,24.0,17.0
53,28.0,5.0,5.0,24.0,5.0
54,28.0,5.0,5.0,24.0,5.0
55,28.0,9.0,9.0,26.0,9.0
56,28.0,9.0,9.0,26.0,9.0
57,28.0,11.0,11.0,24.0,11.0
58,28.0,11.0,11.0,24.0,11.0
59,28.0,11.0,11.0,24.0,11.0
60,28.0,11.0,11.0,24.0,11.0
61,28.0,7.0,7.0,25.0,7.0
62,28.0,7.0,7.0,25.0,7.0
63,28.0,7.0,7.0,25.0,7.0
64,28.0,7.0,7.0,25.0,7.0
65,28.0,6.0,6.0,24.0,6.0
66,28.0,6.0,6.0,24.0,6.0
67,28.0,9.0,9.0,25.0,9.0
68,28.0,9.0,9.0,25.0,9.0
69,28.0,8.0,8.0,23.0,8.0
70,28.0,8.0,8.0,23.0,8.0
71,28.0,11.0,11.0,23.0,11.0
72,28.0,10.0,10.0,23.0,10.0
73,28.0,9.0,9.0,23.0,9.0
74,28.0,9.0,9.0,23.0,9.0
75,28.0,10.0,10.0,24.0,10.0
76,28.0,11.0,11.0,23.0,11.0
77,28.0,11.0,11.0,23.0,11.0
78,28.0,9.0,9.0,24.0,9.0
79,28.0,11.0,11.0,24.0,11.0
80,28.0,11.0,11.0,24.0,11.0
81,28.0,14.0,14.0,19.0,14.0
82,28.0,14.0,14.0,19.0,14.0
83,28.0,16.0,16.0,20.0,16.0
84,28.0,16.0,16.0,20.0,16.0
85,28.0,16.0,16.0,20.0,16.0
86,28.0,16.0,16.0,20.0,16.0
87,28.0,9.0,9.0,18.0,9.0
88,28.0,9.0,9.0,18.0,9.0
89,28.0,15.0,15.0,18.0,15.0
90,28.0,15.0,15.0,18.0,15.0
91,28.0,14.0,14.0,18.0,14.0
92,28.0,14.0,14.0,18.0,14.0
93,28.0,11.0,11.0,19.0,11.0
94,28.0,11.0,11.0,19.0,11.0
95,28.0,12.0,12.0,19.0,12.0
96,28.0,12.0,12.0,19.0,12.0
97,28.0,10.0,10.0,19.0,10.0
98,28.0,10.0,10.0,19.0,10.0
99,28.0,11.0,11.0,19.0,11.0
100,28.0,11.0,11.0,20.0,11.0
101,28.0,11.0,11.0,22.0,11.0
102,28.0,5.0,5.0,22.0,5.0
103,28.0,5.0,5.0,22.0,5.0
104,28.0,12.0,12.0,23.0,12.0
105,28.0,12.0,12.0,23.0,12.0
106,28.0,6.0,6.0,22.0,6.0
107,28.0,5.0,5.0,23.0,5.0
108,28.0,7.0,7.0,24.0,7.0
109,28.0,2.0,2.0,20.0,2.0
110,28.0,9.0,9.0,22.0,9.0
111,28.0,3.0,3.0,27.0,3.0
112,28.0,2.0,2.0,27.0,2.0
113,28.0,11.0,11.0,24.0,11.0
114,28.0,11.0,11.0,24.0,11.0
115,28.0,11.0,11.0,24.0,11.0
116,28.0,9.0,9.0,27.0,9.0
117,28.0,9.0,9.0,27.0,9.0
118,28.0,9.0,9.0,27.0,9.0
119,28.0,9.0,9.0,27.0,9.0
120,28.0,9.0,9.0,27.0,9.0
121,28.0,9.0,9.0,27.0,9.0
122,28.0,8.0,8.0,27.0,8.0
123,28.0,8.0,8.0,27.0,8.0
124,28.0,8.0,8.0,27.0,8.0
125,28.0,8.0,8.0,27.0,8.0
126,28.0,8.0,8.0,27.0,8.0
127,28.0,8.0,8.0,27.0,8.0
128,28.0,8.0,8.0,27.0,8.0
129,28.0,8.0,8.0,27.0,8.0
130,28.0,8.0,8.0,27.0,8.0
131,28.0,2.0,2.0,27.0,2.0
132,28.0,2.0,2.0,27.0,2.0
133,28.0,2.0,2.0,27.0,2.0
134,28.0,2.0,2.0,27.0,2.0
135,28.0,2.0,2.0,27.0,2.0
136,28.0,2.0,2.0,27.0,2.0
137,28.0,3.0,3.0,27.0,3.0
138,28.0,3.0,3.0,27.0,3.0
139,28.0,3.0,3.0,27.0,3.0
140,28.0,2.0,2.0,27.0,2.0
141,28.0,2.0,2.0,27.0,2.0
142,28.0,2.0,2.0,27.0,2.0
143,28.0,3.0,3.0,27.0,3.0
144,28.0,3.0,3.0,27.0,3.0
145,28.0,3.0,3.0,27.0,3.0
146,28.0,7.0,7.0,27.0,7.0
147,28.0,7.0,7.0,27.0,7.0
148,28.0,8.0,8.0,27.0,8.0
149,28.0,8.0,8.0,27.0,8.0
150,28.0,8.0,8.0,27.0,8.0
151,28.0,7.0,7.0,27.0,7.0
152,28.0,7.0,7.0,27.0,7.0
153,28.0,7.0,7.0,27.0,7.0
154,28.0,16.0,16.0,24.0,16.0
155,28.0,0.0,0.0,24.0,0.0
156,28.0,14.0,14.0,24.0,14.0
157,28.0,14.0,14.0,24.0,14.0
158,28.0,14.0,14.0,24.0,14.0
159,28.0,14.0,14.0,24.0,14.0
160,28.0,13.0,13.0,23.0,13.0
161,28.0,13.0,13.0,23.0,13.0
162,28.0,13.0,13.0,23.0,13.0
163,28.0,13.0,13.0,25.0,13.0
164,28.0,13.0,13.0,25.0,13.0
165,28.0,13.0,13.0,25.0,13.0
166,28.0,6.0,6.0,23.0,6.0
167,28.0,6.0,6.0,23.0,6.0
168,28.0,6.0,6.0,23.0,6.0
169,28.0,8.0,8.0,24.0,8.0
170,28.0,8.0,8.0,24.0,8.0
171,28.0,7.0,7.0,24.0,7.0
172,28.0,7.0,7.0,24.0,7.0
173,28.0,7.0,7.0,24.0,7.0
174,28.0,6.0,6.0,25.0,6.0
175,28.0,6.0,6.0,25.0,6.0
176,28.0,6.0,6.0,25.0,6.0
177,28.0,7.0,7.0,26.0,7.0
178,28.0,7.0,7.0,26.0,7.0
179,28.0,7.0,7.0,26.0,7.0
180,28.0,4.0,4.0,25.0,4.0
181,28.0,4.0,4.0,25.0,4.0
182,28.0,4.0,4.0,25.0,4.0
183,28.0,6.0,6.0,24.0,6.0
184,28.0,8.0,8.0,24.0,8.0
185,28.0,7.0,7.0,24.0,7.0
186,28.0,7.0,7.0,23.0,7.0
187,28.0,7.0,7.0,23.0,7.0
188,28.0,7.0,7.0,23.0,7.0
189,28.0,10.0,10.0,23.0,10.0
190,28.0,10.0,10.0,23.0,10.0
191,28.0,5.0,5.0,20.0,5.0
192,28.0,5.0,5.0,23.0,5.0
193,28.0,6.0,6.0,13.0,6.0
194,28.0,8.0,8.0,25.0,8.0
195,28.0,1.0,1.0,25.0,1.0
196,28.0,2.0,2.0,25.0,2.0
197,28.0,2.0,2.0,25.0,2.0
198,28.0,6.0,6.0,25.0,6.0
199,28.0,4.0,4.0,24.0,4.0
200,28.0,5.0,5.0,25.0,5.0
201,28.0,6.0,6.0,26.0,6.0
202,28.0,6.0,6.0,26.0,6.0
203,28.0,1.0,1.0,25.0,1.0
204,28.0,1.0,1.0,25.0,1.0
205,28.0,2.0,2.0,25.0,2.0
206,28.0,3.0,3.0,25.0,3.0
207,28.0,4.0,4.0,25.0,4.0
208,28.0,3.0,3.0,25.0,3.0
209,28.0,3.0,3.0,25.0,3.0
210,28.0,1.0,1.0,25.0,1.0
211,28.0,1.0,1.0,25.0,1.0
212,28.0,5.0,5.0,25.0,5.0
213,28.0,5.0,5.0,25.0,5.0
214,28.0,4.0,4.0,25.0,4.0
215,28.0,4.0,4.0,25.0,4.0
216,28.0,4.0,4.0,25.0,4.0
217,28.0,4.0,4.0,25.0,4.0
218,28.0,4.0,4.0,25.0,4.0
219,28.0,1.0,1.0,25.0,1.0
220,28.0,1.0,1.0,25.0,1.0
221,28.0,1.0,1.0,25.0,1.0
222,28.0,0.0,0.0,25.0,0.0
223,28.0,0.0,0.0,25.0,0.0
224,28.0,0.0,0.0,25.0,0.0
225,28.0,1.0,1.0,25.0,1.0
226,28.0,1.0,1.0,25.0,1.0
227,28.0,1.0,1.0,25.0,1.0
228,28.0,1.0,1.0,25.0,1.0
229,28.0,1.0,1.0,25.0,1.0
230,28.0,4.0,4.0,25.0,4.0
231,28.0,4.0,4.0,25.0,4.0
