,sst,chl,kd_490,par,Zeu
0,14.0,2.0,2.0,13.0,2.0
1,14.0,0.0,0.0,13.0,0.0
2,0.0,0.0,0.0,12.0,0.0
3,0.0,0.0,0.0,12.0,0.0
4,14.0,5.0,5.0,14.0,5.0
5,14.0,5.0,5.0,14.0,5.0
6,14.0,0.0,0.0,14.0,0.0
7,14.0,0.0,0.0,14.0,0.0
8,14.0,0.0,0.0,14.0,0.0
9,14.0,0.0,0.0,14.0,0.0
10,14.0,1.0,1.0,14.0,1.0
11,14.0,1.0,1.0,14.0,1.0
12,14.0,0.0,0.0,14.0,0.0
13,14.0,0.0,0.0,14.0,0.0
14,14.0,4.0,4.0,13.0,4.0
15,14.0,4.0,4.0,13.0,4.0
16,14.0,4.0,4.0,12.0,4.0
17,14.0,4.0,4.0,12.0,4.0
18,14.0,3.0,3.0,13.0,3.0
19,14.0,3.0,3.0,13.0,3.0
20,14.0,3.0,3.0,13.0,3.0
21,14.0,3.0,3.0,13.0,3.0
22,14.0,3.0,3.0,13.0,3.0
23,14.0,3.0,3.0,13.0,3.0
24,14.0,6.0,6.0,12.0,6.0
25,14.0,6.0,6.0,12.0,6.0
26,14.0,3.0,3.0,12.0,3.0
27,14.0,3.0,3.0,12.0,3.0
28,14.0,5.0,5.0,11.0,5.0
29,14.0,5.0,5.0,11.0,5.0
30,14.0,4.0,4.0,12.0,4.0
31,14.0,4.0,4.0,12.0,4.0
32,14.0,6.0,6.0,11.0,6.0
33,14.0,6.0,6.0,11.0,6.0
34,14.0,2.0,2.0,12.0,2.0
35,14.0,2.0,2.0,12.0,2.0
36,14.0,4.0,4.0,12.0,4.0
37,14.0,4.0,4.0,12.0,4.0
38,14.0,5.0,5.0,11.0,5.0
39,14.0,5.0,5.0,11.0,5.0
40,14.0,3.0,3.0,11.0,3.0
41,14.0,3.0,3.0,11.0,3.0
42,14.0,4.0,4.0,12.0,4.0
43,14.0,4.0,4.0,12.0,4.0
44,14.0,4.0,4.0,12.0,4.0
45,14.0,4.0,4.0,12.0,4.0
46,14.0,8.0,8.0,11.0,8.0
47,14.0,8.0,8.0,11.0,8.0
48,14.0,9.0,9.0,11.0,9.0
49,14.0,9.0,9.0,11.0,9.0
50,14.0,7.0,7.0,12.0,7.0
51,14.0,8.0,8.0,12.0,8.0
52,14.0,8.0,8.0,12.0,8.0
53,14.0,3.0,3.0,12.0,3.0
54,14.0,3.0,3.0,12.0,3.0
55,14.0,4.0,4.0,13.0,4.0
56,14.0,4.0,4.0,13.0,4.0
57,14.0,6.0,6.0,11.0,6.0
58,14.0,6.0,6.0,11.0,6.0
59,14.0,6.0,6.0,12.0,6.0
60,14.0,6.0,6.0,12.0,6.0
61,14.0,3.0,3.0,13.0,3.0
62,14.0,3.0,3.0,13.0,3.0
63,14.0,4.0,4.0,12.0,4.0
64,14.0,4.0,4.0,12.0,4.0
65,14.0,2.0,2.0,13.0,2.0
66,14.0,2.0,2.0,13.0,2.0
67,14.0,2.0,2.0,12.0,2.0
68,14.0,2.0,2.0,12.0,2.0
69,14.0,2.0,2.0,11.0,2.0
70,14.0,2.0,2.0,11.0,2.0
71,14.0,3.0,3.0,11.0,3.0
72,14.0,3.0,3.0,11.0,3.0
73,14.0,1.0,1.0,11.0,1.0
74,14.0,1.0,1.0,11.0,1.0
75,14.0,4.0,4.0,11.0,4.0
76,14.0,3.0,3.0,11.0,3.0
77,14.0,3.0,3.0,11.0,3.0
78,14.0,2.0,2.0,13.0,2.0
79,14.0,4.0,4.0,13.0,4.0
80,14.0,4.0,4.0,13.0,4.0
81,14.0,5.0,5.0,10.0,5.0
82,14.0,5.0,5.0,10.0,5.0
83,14.0,9.0,9.0,10.0,9.0
84,14.0,9.0,9.0,10.0,9.0
85,14.0,6.0,6.0,9.0,6.0
86,14.0,6.0,6.0,9.0,6.0
87,14.0,6.0,6.0,9.0,6.0
88,14.0,6.0,6.0,9.0,6.0
89,14.0,7.0,7.0,9.0,7.0
90,14.0,7.0,7.0,9.0,7.0
91,14.0,6.0,6.0,9.0,6.0
92,14.0,6.0,6.0,9.0,6.0
93,14.0,8.0,8.0,10.0,8.0
94,14.0,8.0,8.0,10.0,8.0
95,14.0,6.0,6.0,10.0,6.0
96,14.0,6.0,6.0,10.0,6.0
97,14.0,5.0,5.0,9.0,5.0
98,14.0,5.0,5.0,9.0,5.0
99,14.0,2.0,2.0,9.0,2.0
100,14.0,4.0,4.0,10.0,4.0
101,14.0,5.0,5.0,10.0,5.0
102,14.0,3.0,3.0,10.0,3.0
103,14.0,3.0,3.0,10.0,3.0
104,14.0,7.0,7.0,11.0,7.0
105,14.0,7.0,7.0,11.0,7.0
106,14.0,2.0,2.0,11.0,2.0
107,14.0,3.0,3.0,13.0,3.0
108,14.0,3.0,3.0,12.0,3.0
