,sst,chl,kd_490,par,Zeu
0,29.0,2.0,2.0,28.0,2.0
1,29.0,2.0,2.0,28.0,2.0
2,0.0,0.0,0.0,21.0,0.0
3,0.0,0.0,0.0,21.0,0.0
4,29.0,11.0,11.0,28.0,11.0
5,29.0,11.0,11.0,28.0,11.0
6,29.0,2.0,2.0,28.0,2.0
7,29.0,2.0,2.0,28.0,2.0
8,29.0,2.0,2.0,28.0,2.0
9,29.0,2.0,2.0,28.0,2.0
10,29.0,2.0,2.0,28.0,2.0
11,29.0,2.0,2.0,28.0,2.0
12,29.0,0.0,0.0,28.0,0.0
13,29.0,0.0,0.0,28.0,0.0
14,29.0,7.0,7.0,28.0,7.0
15,29.0,7.0,7.0,28.0,7.0
16,29.0,11.0,11.0,27.0,11.0
17,29.0,11.0,11.0,27.0,11.0
18,29.0,5.0,5.0,25.0,5.0
19,29.0,5.0,5.0,25.0,5.0
20,29.0,5.0,5.0,25.0,5.0
21,29.0,5.0,5.0,25.0,5.0
22,29.0,6.0,6.0,26.0,6.0
23,29.0,6.0,6.0,26.0,6.0
24,29.0,10.0,10.0,25.0,10.0
25,29.0,10.0,10.0,25.0,10.0
26,29.0,6.0,6.0,26.0,6.0
27,29.0,6.0,6.0,26.0,6.0
28,29.0,7.0,7.0,24.0,7.0
29,29.0,7.0,7.0,24.0,7.0
30,29.0,7.0,7.0,26.0,7.0
31,29.0,7.0,7.0,26.0,7.0
32,29.0,11.0,11.0,24.0,11.0
33,29.0,11.0,11.0,24.0,11.0
34,29.0,6.0,6.0,25.0,6.0
35,29.0,6.0,6.0,25.0,6.0
36,29.0,8.0,8.0,25.0,8.0
37,29.0,8.0,8.0,25.0,8.0
38,29.0,10.0,10.0,24.0,10.0
39,29.0,10.0,10.0,24.0,10.0
40,29.0,6.0,6.0,23.0,6.0
41,29.0,6.0,6.0,23.0,6.0
42,29.0,6.0,6.0,25.0,6.0
43,29.0,6.0,6.0,25.0,6.0
44,29.0,6.0,6.0,25.0,6.0
45,29.0,6.0,6.0,25.0,6.0
46,29.0,18.0,18.0,24.0,18.0
47,29.0,18.0,18.0,24.0,18.0
48,29.0,21.0,21.0,22.0,21.0
49,29.0,21.0,21.0,22.0,21.0
50,29.0,18.0,18.0,22.0,18.0
51,29.0,18.0,18.0,22.0,18.0
52,29.0,17.0,17.0,24.0,17.0
53,29.0,6.0,6.0,25.0,6.0
54,29.0,6.0,6.0,25.0,6.0
55,29.0,9.0,9.0,27.0,9.0
56,29.0,9.0,9.0,27.0,9.0
57,29.0,11.0,11.0,25.0,11.0
58,29.0,11.0,11.0,25.0,11.0
59,29.0,11.0,11.0,25.0,11.0
60,29.0,11.0,11.0,25.0,11.0
61,29.0,7.0,7.0,26.0,7.0
62,29.0,7.0,7.0,26.0,7.0
63,29.0,8.0,8.0,26.0,8.0
64,29.0,8.0,8.0,26.0,8.0
65,29.0,7.0,7.0,25.0,7.0
66,29.0,7.0,7.0,25.0,7.0
67,29.0,9.0,9.0,25.0,9.0
68,29.0,9.0,9.0,25.0,9.0
69,29.0,8.0,8.0,24.0,8.0
70,29.0,8.0,8.0,24.0,8.0
71,29.0,11.0,11.0,24.0,11.0
72,29.0,10.0,10.0,24.0,10.0
73,29.0,9.0,9.0,24.0,9.0
74,29.0,9.0,9.0,24.0,9.0
75,29.0,11.0,11.0,25.0,11.0
76,29.0,11.0,11.0,24.0,11.0
77,29.0,11.0,11.0,24.0,11.0
78,29.0,10.0,10.0,25.0,10.0
79,29.0,11.0,11.0,25.0,11.0
80,29.0,11.0,11.0,25.0,11.0
81,29.0,15.0,15.0,20.0,15.0
82,29.0,15.0,15.0,20.0,15.0
83,29.0,16.0,16.0,20.0,16.0
84,29.0,16.0,16.0,20.0,16.0
85,29.0,17.0,17.0,21.0,17.0
86,29.0,17.0,17.0,21.0,17.0
87,29.0,10.0,10.0,19.0,10.0
88,29.0,10.0,10.0,19.0,10.0
89,29.0,16.0,16.0,19.0,16.0
90,29.0,16.0,16.0,19.0,16.0
91,29.0,15.0,15.0,19.0,15.0
92,29.0,15.0,15.0,19.0,15.0
93,29.0,11.0,11.0,20.0,11.0
94,29.0,11.0,11.0,20.0,11.0
95,29.0,13.0,13.0,20.0,13.0
