,sst,chl,kd_490,par,Zeu
0,26.0,2.0,2.0,25.0,2.0
1,26.0,1.0,1.0,25.0,1.0
2,0.0,0.0,0.0,21.0,0.0
3,0.0,0.0,0.0,21.0,0.0
4,26.0,10.0,10.0,25.0,10.0
5,26.0,10.0,10.0,25.0,10.0
6,26.0,2.0,2.0,25.0,2.0
7,26.0,2.0,2.0,25.0,2.0
8,26.0,2.0,2.0,25.0,2.0
9,26.0,2.0,2.0,25.0,2.0
10,26.0,2.0,2.0,25.0,2.0
11,26.0,2.0,2.0,25.0,2.0
12,26.0,0.0,0.0,26.0,0.0
13,26.0,0.0,0.0,26.0,0.0
14,26.0,7.0,7.0,25.0,7.0
15,26.0,7.0,7.0,25.0,7.0
16,26.0,9.0,9.0,24.0,9.0
17,26.0,9.0,9.0,24.0,9.0
18,26.0,3.0,3.0,23.0,3.0
19,26.0,3.0,3.0,23.0,3.0
20,26.0,4.0,4.0,23.0,4.0
21,26.0,4.0,4.0,23.0,4.0
22,26.0,5.0,5.0,23.0,5.0
23,26.0,5.0,5.0,23.0,5.0
24,26.0,9.0,9.0,23.0,9.0
25,26.0,9.0,9.0,23.0,9.0
26,26.0,6.0,6.0,23.0,6.0
27,26.0,6.0,6.0,23.0,6.0
28,26.0,7.0,7.0,22.0,7.0
29,26.0,7.0,7.0,22.0,7.0
30,26.0,6.0,6.0,23.0,6.0
31,26.0,6.0,6.0,23.0,6.0
32,26.0,10.0,10.0,21.0,10.0
33,26.0,10.0,10.0,21.0,10.0
34,26.0,5.0,5.0,22.0,5.0
35,26.0,5.0,5.0,22.0,5.0
36,26.0,8.0,8.0,22.0,8.0
37,26.0,8.0,8.0,22.0,8.0
38,26.0,10.0,10.0,21.0,10.0
39,26.0,10.0,10.0,21.0,10.0
40,26.0,6.0,6.0,20.0,6.0
41,26.0,6.0,6.0,20.0,6.0
42,26.0,6.0,6.0,22.0,6.0
43,26.0,6.0,6.0,22.0,6.0
44,26.0,5.0,5.0,22.0,5.0
45,26.0,5.0,5.0,22.0,5.0
46,26.0,17.0,17.0,21.0,17.0
47,26.0,17.0,17.0,21.0,17.0
48,26.0,18.0,18.0,20.0,18.0
49,26.0,18.0,18.0,20.0,18.0
50,26.0,16.0,16.0,20.0,16.0
51,26.0,17.0,17.0,21.0,17.0
52,26.0,15.0,15.0,22.0,15.0
53,26.0,5.0,5.0,22.0,5.0
54,26.0,5.0,5.0,22.0,5.0
55,26.0,9.0,9.0,24.0,9.0
56,26.0,9.0,9.0,24.0,9.0
57,26.0,11.0,11.0,22.0,11.0
58,26.0,11.0,11.0,22.0,11.0
59,26.0,10.0,10.0,22.0,10.0
60,26.0,10.0,10.0,22.0,10.0
61,26.0,7.0,7.0,24.0,7.0
62,26.0,7.0,7.0,24.0,7.0
63,26.0,6.0,6.0,24.0,6.0
64,26.0,6.0,6.0,24.0,6.0
65,26.0,6.0,6.0,23.0,6.0
66,26.0,6.0,6.0,23.0,6.0
67,26.0,9.0,9.0,23.0,9.0
68,26.0,9.0,9.0,23.0,9.0
69,26.0,8.0,8.0,21.0,8.0
70,26.0,8.0,8.0,21.0,8.0
71,26.0,10.0,10.0,21.0,10.0
72,26.0,9.0,9.0,21.0,9.0
73,26.0,7.0,7.0,21.0,7.0
74,26.0,7.0,7.0,21.0,7.0
75,26.0,9.0,9.0,22.0,9.0
76,26.0,11.0,11.0,21.0,11.0
77,26.0,11.0,11.0,21.0,11.0
78,26.0,9.0,9.0,22.0,9.0
79,26.0,10.0,10.0,22.0,10.0
80,26.0,10.0,10.0,22.0,10.0
81,26.0,14.0,14.0,18.0,14.0
82,26.0,14.0,14.0,18.0,14.0
83,26.0,16.0,16.0,19.0,16.0
84,26.0,16.0,16.0,19.0,16.0
85,26.0,14.0,14.0,18.0,14.0
86,26.0,14.0,14.0,18.0,14.0
87,26.0,8.0,8.0,16.0,8.0
88,26.0,8.0,8.0,16.0,8.0
89,26.0,14.0,14.0,17.0,14.0
90,26.0,14.0,14.0,17.0,14.0
91,26.0,13.0,13.0,17.0,13.0
92,26.0,13.0,13.0,17.0,13.0
93,26.0,11.0,11.0,18.0,11.0
94,26.0,11.0,11.0,18.0,11.0
95,26.0,11.0,11.0,18.0,11.0
96,26.0,11.0,11.0,18.0,11.0
97,26.0,9.0,9.0,18.0,9.0
98,26.0,9.0,9.0,18.0,9.0
99,26.0,10.0,10.0,18.0,10.0
100,26.0,10.0,10.0,19.0,10.0
101,26.0,11.0,11.0,21.0,11.0
