,sst,chl,kd_490,par,Zeu
0,23.0,2.0,2.0,22.0,2.0
1,23.0,1.0,1.0,22.0,1.0
2,0.0,0.0,0.0,19.0,0.0
3,0.0,0.0,0.0,19.0,0.0
4,23.0,9.0,9.0,22.0,9.0
5,23.0,9.0,9.0,22.0,9.0
6,23.0,1.0,1.0,22.0,1.0
7,23.0,1.0,1.0,22.0,1.0
8,23.0,1.0,1.0,23.0,1.0
9,23.0,1.0,1.0,23.0,1.0
10,23.0,1.0,1.0,23.0,1.0
11,23.0,1.0,1.0,23.0,1.0
12,23.0,0.0,0.0,23.0,0.0
13,23.0,0.0,0.0,23.0,0.0
14,23.0,5.0,5.0,22.0,5.0
15,23.0,5.0,5.0,22.0,5.0
16,23.0,7.0,7.0,21.0,7.0
17,23.0,7.0,7.0,21.0,7.0
18,23.0,3.0,3.0,20.0,3.0
19,23.0,3.0,3.0,20.0,3.0
20,23.0,4.0,4.0,20.0,4.0
21,23.0,4.0,4.0,20.0,4.0
22,23.0,4.0,4.0,21.0,4.0
23,23.0,4.0,4.0,21.0,4.0
24,23.0,9.0,9.0,21.0,9.0
25,23.0,9.0,9.0,21.0,9.0
26,23.0,6.0,6.0,20.0,6.0
27,23.0,6.0,6.0,20.0,6.0
28,23.0,7.0,7.0,19.0,7.0
29,23.0,7.0,7.0,19.0,7.0
30,23.0,5.0,5.0,20.0,5.0
31,23.0,5.0,5.0,20.0,5.0
32,23.0,9.0,9.0,18.0,9.0
33,23.0,9.0,9.0,18.0,9.0
34,23.0,5.0,5.0,19.0,5.0
35,23.0,5.0,5.0,19.0,5.0
36,23.0,7.0,7.0,20.0,7.0
37,23.0,7.0,7.0,20.0,7.0
38,23.0,10.0,10.0,18.0,10.0
39,23.0,10.0,10.0,18.0,10.0
40,23.0,4.0,4.0,18.0,4.0
41,23.0,4.0,4.0,18.0,4.0
42,23.0,5.0,5.0,20.0,5.0
43,23.0,5.0,5.0,20.0,5.0
44,23.0,5.0,5.0,20.0,5.0
45,23.0,5.0,5.0,20.0,5.0
46,23.0,15.0,15.0,19.0,15.0
47,23.0,15.0,15.0,19.0,15.0
48,23.0,17.0,17.0,18.0,17.0
49,23.0,17.0,17.0,18.0,17.0
50,23.0,14.0,14.0,19.0,14.0
51,23.0,14.0,14.0,19.0,14.0
52,23.0,14.0,14.0,19.0,14.0
53,23.0,5.0,5.0,20.0,5.0
54,23.0,5.0,5.0,20.0,5.0
55,23.0,8.0,8.0,21.0,8.0
56,23.0,8.0,8.0,21.0,8.0
57,23.0,9.0,9.0,19.0,9.0
58,23.0,9.0,9.0,19.0,9.0
59,23.0,8.0,8.0,20.0,8.0
60,23.0,8.0,8.0,20.0,8.0
61,23.0,5.0,5.0,21.0,5.0
62,23.0,5.0,5.0,21.0,5.0
63,23.0,4.0,4.0,21.0,4.0
64,23.0,4.0,4.0,21.0,4.0
65,23.0,5.0,5.0,21.0,5.0
66,23.0,5.0,5.0,21.0,5.0
67,23.0,8.0,8.0,20.0,8.0
68,23.0,8.0,8.0,20.0,8.0
69,23.0,6.0,6.0,18.0,6.0
70,23.0,6.0,6.0,18.0,6.0
71,23.0,8.0,8.0,19.0,8.0
72,23.0,7.0,7.0,19.0,7.0
73,23.0,6.0,6.0,19.0,6.0
74,23.0,6.0,6.0,19.0,6.0
75,23.0,8.0,8.0,19.0,8.0
76,23.0,8.0,8.0,18.0,8.0
77,23.0,8.0,8.0,18.0,8.0
78,23.0,7.0,7.0,19.0,7.0
79,23.0,8.0,8.0,19.0,8.0
80,23.0,8.0,8.0,19.0,8.0
81,23.0,11.0,11.0,15.0,11.0
82,23.0,11.0,11.0,15.0,11.0
83,23.0,13.0,13.0,16.0,13.0
84,23.0,13.0,13.0,16.0,13.0
85,23.0,11.0,11.0,15.0,11.0
86,23.0,11.0,11.0,15.0,11.0
87,23.0,8.0,8.0,15.0,8.0
88,23.0,8.0,8.0,15.0,8.0
89,23.0,13.0,13.0,15.0,13.0
90,23.0,13.0,13.0,15.0,13.0
91,23.0,12.0,12.0,15.0,12.0
92,23.0,12.0,12.0,15.0,12.0
93,23.0,10.0,10.0,17.0,10.0
94,23.0,10.0,10.0,17.0,10.0
95,23.0,10.0,10.0,17.0,10.0
96,23.0,10.0,10.0,17.0,10.0
97,23.0,9.0,9.0,16.0,9.0
98,23.0,9.0,9.0,16.0,9.0
99,23.0,9.0,9.0,16.0,9.0
100,23.0,9.0,9.0,17.0,9.0
101,23.0,10.0,10.0,18.0,10.0
102,23.0,4.0,4.0,18.0,4.0
103,23.0,4.0,4.0,18.0,4.0
104,23.0,9.0,9.0,18.0,9.0
105,23.0,9.0,9.0,18.0,9.0
106,23.0,5.0,5.0,18.0,5.0
107,23.0,4.0,4.0,19.0,4.0
108,23.0,6.0,6.0,19.0,6.0
109,23.0,1.0,1.0,15.0,1.0
110,23.0,7.0,7.0,18.0,7.0
111,23.0,3.0,3.0,22.0,3.0
112,23.0,2.0,2.0,22.0,2.0
113,23.0,10.0,10.0,20.0,10.0
114,23.0,10.0,10.0,20.0,10.0
115,23.0,10.0,10.0,20.0,10.0
116,23.0,7.0,7.0,22.0,7.0
117,23.0,7.0,7.0,22.0,7.0
118,23.0,7.0,7.0,22.0,7.0
119,23.0,9.0,9.0,22.0,9.0
120,23.0,9.0,9.0,22.0,9.0
121,23.0,9.0,9.0,22.0,9.0
122,23.0,7.0,7.0,22.0,7.0
123,23.0,7.0,7.0,22.0,7.0
124,23.0,7.0,7.0,22.0,7.0
125,23.0,8.0,8.0,22.0,8.0
126,23.0,8.0,8.0,22.0,8.0
127,23.0,8.0,8.0,22.0,8.0
128,23.0,8.0,8.0,22.0,8.0
129,23.0,8.0,8.0,22.0,8.0
130,23.0,8.0,8.0,22.0,8.0
131,23.0,2.0,2.0,22.0,2.0
132,23.0,2.0,2.0,22.0,2.0
133,23.0,2.0,2.0,22.0,2.0
134,23.0,2.0,2.0,22.0,2.0
135,23.0,2.0,2.0,22.0,2.0
136,23.0,2.0,2.0,22.0,2.0
137,23.0,2.0,2.0,22.0,2.0
138,23.0,2.0,2.0,22.0,2.0
139,23.0,2.0,2.0,22.0,2.0
140,23.0,2.0,2.0,22.0,2.0
141,23.0,2.0,2.0,22.0,2.0
142,23.0,2.0,2.0,22.0,2.0
143,23.0,3.0,3.0,22.0,3.0
144,23.0,3.0,3.0,22.0,3.0
145,23.0,3.0,3.0,22.0,3.0
146,23.0,5.0,5.0,22.0,5.0
147,23.0,5.0,5.0,22.0,5.0
148,23.0,7.0,7.0,23.0,7.0
149,23.0,7.0,7.0,23.0,7.0
150,23.0,7.0,7.0,23.0,7.0
151,23.0,5.0,5.0,23.0,5.0
152,23.0,5.0,5.0,23.0,5.0
153,23.0,5.0,5.0,23.0,5.0
154,23.0,11.0,11.0,19.0,11.0
155,23.0,0.0,0.0,21.0,0.0
156,23.0,10.0,10.0,20.0,10.0
157,23.0,10.0,10.0,20.0,10.0
158,23.0,10.0,10.0,20.0,10.0
159,23.0,10.0,10.0,20.0,10.0
160,23.0,9.0,9.0,19.0,9.0
161,23.0,9.0,9.0,19.0,9.0
162,23.0,9.0,9.0,19.0,9.0
163,23.0,9.0,9.0,20.0,9.0
164,23.0,9.0,9.0,20.0,9.0
165,23.0,9.0,9.0,20.0,9.0
